面數,核發日期-有效期限,溫泉業者,營業處所,泉質類別,核發機關
258,1030225,烏來大飯店,新北市烏來區烏來街8號,碳酸氫鹽泉,新北市政府
259,1030305,原湯商業旅館,宜蘭縣礁溪鄉德陽村仁愛路6號,碳酸氫鹽泉,宜蘭縣政府
260,1030307,紅燈籠汽車旅館,宜蘭縣礁溪鄉德陽村中山路二段246號,碳酸氫鹽泉,宜蘭縣政府
261,1030312,紅葉旅館,宜蘭縣礁溪鄉德陽村德陽路193號,碳酸氫鹽泉,宜蘭縣政府
262,1030313,新溫泉渡假旅館,屏東縣車城鄉溫泉村文化路1-10號,碳酸氫鹽泉,屏東縣政府
263,1030318,冒煙的石頭溫泉渡假旅館,宜蘭縣礁溪鄉德陽村信義路34巷33號,碳酸氫鹽泉,宜蘭縣政府
264,1030318,來去泡湯坊,宜蘭縣礁溪鄉德陽村忠孝路1巷2-1號,碳酸氫鹽泉,宜蘭縣政府
265,1030318,雪山溫泉會館,宜蘭縣礁溪鄉德陽村中山路二段159號1-8樓,碳酸氫鹽泉,宜蘭縣政府
266,1030318,中冠礁溪大飯店,宜蘭縣礁溪鄉德陽村德陽路6號1-6樓,碳酸氫鹽泉,宜蘭縣政府
267,1030319,盈家溫泉民宿,臺東縣鹿野鄉鹿野村中華路一段86號,碳酸氫鹽泉,臺東縣政府
268,1030324,華園溫泉旅館,宜蘭縣礁溪鄉德陽村德陽路75號,碳酸氫鹽泉,宜蘭縣政府
269,1030324,鄉都溫泉旅館,宜蘭縣礁溪鄉德陽村礁溪路五段27號,碳酸氫鹽泉,宜蘭縣政府
270,1030331,揚悅溫泉會館,新北市烏來區烏來街6號,碳酸氫鹽泉,新北市政府
271,1030331,天池溫泉館,新北市烏來區啦卡路50號,碳酸氫鹽泉,新北市政府
272,1030331,福容大飯店 淡水漁人碼頭,新北市淡水區觀海路83號,氯化物碳酸氫鹽泉,新北市政府
273,1030402,富泉大飯店,宜蘭縣礁溪鄉德陽村礁溪路五段93號,碳酸氫鹽泉,宜蘭縣政府
274,1030422,天然旅館,宜蘭縣礁溪鄉德陽村德陽路71號,碳酸氫鹽泉,宜蘭縣政府
275,1030430,小川源溫泉館,新北市烏來區烏來街32號1樓,碳酸氫鹽泉,新北市政府
276,1030430,萬金文溫泉民宿,新北市萬里區萬里加投45之7號,碳酸氫鹽泉,新北市政府
277,1030430,萬金銘珠溫泉民宿,新北市萬里區萬里加投45之8號,碳酸氫鹽泉,新北市政府
278,1030430,大地北投奇岩溫泉酒店,臺北市北投區奇岩路1號,硫磺泉,臺北市政府
279,1030501,美洲山莊,宜蘭縣礁溪鄉德陽村仁愛路22號1-3樓,碳酸氫鹽泉,宜蘭縣政府
280,1030505,阿信溫泉,新北市烏來區溫泉街75號,碳酸氫鹽泉,新北市政府
281,1030505,湯緣溫泉館,新北市烏來區烏來街78號,碳酸氫鹽泉,新北市政府
282,1030521,墾丁馬爾地夫溫泉大飯店,屏東縣恆春鎮省北路40巷67弄8號,氯化物碳酸氫鹽泉,屏東縣政府
283,1030522,春湯溫泉飯店,宜蘭縣礁溪鄉德陽村德陽路26、28號,碳酸氫鹽泉,宜蘭縣政府
284,1030528,香草花源溫泉養生館,新北萬里區萬里加投18-4號,碳酸氫鹽泉,新北市政府
285,1030531,日月光溫泉山莊(茂英企業社),新北市烏來區新烏路4段18號,碳酸氫鹽泉,新北市政府
286,1030619,宜蘭礁溪溫泉商旅,宜蘭縣礁溪鄉德陽村德陽路198號,碳酸氫鹽泉,宜蘭縣政府
287,1030620,茴香戀戀溫泉會館,屏東縣牡丹鄉石門村大梅路1-16號,碳酸氫鹽泉,屏東縣政府
